ticker,first_seen_date,last_seen_date,seen_count,last_labels,last_filing_url
BKYI,2025-12-02,2025-12-02,8,convert_financing|dilution_bank|pipe_financing,https://www.sec.gov/Archives/edgar/data/1019034/0001437749-25-036669.txt
BLBX,2026-02-03,2026-02-03,6,convert_financing,https://www.sec.gov/Archives/edgar/data/1567900/0001437749-26-002707.txt
BMRA,2025-10-08,2025-10-08,1,dilution_bank,https://www.sec.gov/Archives/edgar/data/73290/0001493152-25-017363.txt
BNBX,2026-01-22,2026-01-22,11,dilution_bank,https://www.sec.gov/Archives/edgar/data/744452/0001104659-26-005784.txt
BNRG,2026-01-09,2026-01-09,6,convert_financing|dilution_bank|pipe_financing,https://www.sec.gov/Archives/edgar/data/1901215/0001213900-26-002911.txt
BOF,2026-01-30,2026-01-30,14,convert_financing|dilution_bank|pipe_financing,https://www.sec.gov/Archives/edgar/data/1962481/0001493152-26-004483.txt
BOSC,2025-09-15,2025-09-15,1,dilution_bank|pipe_financing,https://www.sec.gov/Archives/edgar/data/1005516/0001213900-25-087703.txt
BOTJ,2025-10-30,2025-10-30,2,pipe_financing,https://www.sec.gov/Archives/edgar/data/1275101/0001275101-25-000003.txt
BOXL,2026-01-16,2026-01-16,16,dilution_bank,https://www.sec.gov/Archives/edgar/data/1624512/0001628280-26-002389.txt
BQ,2025-11-19,2025-11-19,3,convert_financing|dilution_bank|pipe_financing,https://www.sec.gov/Archives/edgar/data/1815021/0001213900-25-112655.txt
BRFH,2025-11-06,2025-11-06,3,dilution_bank,https://www.sec.gov/Archives/edgar/data/1487197/0001493152-25-021068.txt
BRN,2026-02-02,2026-02-02,15,dilution_bank,https://www.sec.gov/Archives/edgar/data/10048/0001140361-26-003104.txt
BRTX,2025-12-12,2026-02-17,11,convert_financing,https://www.sec.gov/Archives/edgar/data/1505497/0001493152-26-006837.txt
BSBK,2025-11-03,2025-11-03,1,dilution_bank,https://www.sec.gov/Archives/edgar/data/1787414/0000943374-25-000457.txt
BTTC,2025-09-19,2025-09-19,3,convert_financing|dilution_bank,https://www.sec.gov/Archives/edgar/data/2034400/0001493152-25-014111.txt
BUDA,2026-01-09,2026-01-09,2,convert_financing|dilution_bank|pipe_financing,https://www.sec.gov/Archives/edgar/data/2079720/0001493152-26-001094.txt
BVFL,2026-01-23,2026-01-23,3,dilution_bank,https://www.sec.gov/Archives/edgar/data/1302387/0000943374-26-000014.txt
BXC,2025-11-03,2025-11-03,1,dilution_bank,https://www.sec.gov/Archives/edgar/data/1301787/0001104659-25-105300.txt
CABO,2026-01-05,2026-01-05,6,convert_financing|dilution_bank,https://www.sec.gov/Archives/edgar/data/1632127/0000950157-26-000007.txt
CABR,2026-02-03,2026-02-03,9,dilution_bank,https://www.sec.gov/Archives/edgar/data/2020737/0001493152-26-004846.txt
CACC,2026-01-29,2026-01-29,8,dilution_bank,https://www.sec.gov/Archives/edgar/data/885550/0000885550-26-000009.txt
CALC,2025-11-06,2025-11-06,2,dilution_bank|pipe_financing,https://www.sec.gov/Archives/edgar/data/1534133/0001193125-25-269496.txt
CAPS,2026-01-28,2026-01-28,22,convert_financing|dilution_bank,https://www.sec.gov/Archives/edgar/data/887151/0001213900-26-008528.txt
CARV,2025-11-18,2025-11-18,3,dilution_bank,https://www.sec.gov/Archives/edgar/data/1016178/0000943374-25-000480.txt
CBFV,2025-11-24,2025-11-24,2,dilution_bank,https://www.sec.gov/Archives/edgar/data/1605301/0001605301-25-000048.txt
CBIO,2025-11-06,2025-11-06,2,convert_financing|dilution_bank,https://www.sec.gov/Archives/edgar/data/1253689/0001628280-25-049865.txt
CBK,2026-01-28,2026-01-28,2,dilution_bank,https://www.sec.gov/Archives/edgar/data/1981546/0001213900-26-008822.txt
CELZ,2025-12-16,2025-12-16,5,dilution_bank|pipe_financing,https://www.sec.gov/Archives/edgar/data/1187953/0001477932-25-008989.txt
CETY,2026-01-16,2026-01-16,11,dilution_bank,https://www.sec.gov/Archives/edgar/data/1329606/0001493152-26-002624.txt
CFFI,2025-10-23,2025-10-23,1,dilution_bank,https://www.sec.gov/Archives/edgar/data/913341/0000913341-25-000056.txt
CHAI,2025-11-13,2025-11-13,1,convert_financing|dilution_bank|pipe_financing,https://www.sec.gov/Archives/edgar/data/1649009/0001493152-25-022062.txt
CHMG,2026-01-26,2026-01-26,3,convert_financing,https://www.sec.gov/Archives/edgar/data/763563/0001171843-26-000415.txt
CHR,2025-11-06,2025-11-06,2,convert_financing|dilution_bank|pipe_financing,https://www.sec.gov/Archives/edgar/data/1738758/0001213900-25-106869.txt
CIIT,2025-10-03,2025-10-03,1,dilution_bank,https://www.sec.gov/Archives/edgar/data/1557798/0001683168-25-007402.txt
CISS,2026-01-26,2026-02-19,44,convert_financing,https://www.sec.gov/Archives/edgar/data/1951067/0001193125-26-058273.txt
CITR,2026-01-28,2026-01-28,4,dilution_bank,https://www.sec.gov/Archives/edgar/data/894556/0001640334-26-000168.txt
CIX,2025-11-05,2025-11-05,2,dilution_bank,https://www.sec.gov/Archives/edgar/data/1049606/0001049606-25-000022.txt
CJMB,2025-09-24,2025-09-24,3,dilution_bank|pipe_financing,https://www.sec.gov/Archives/edgar/data/2032545/0001493152-25-014793.txt
CKX,2025-11-20,2025-11-20,2,dilution_bank,https://www.sec.gov/Archives/edgar/data/352955/0001437749-25-035779.txt
CLGN,2026-02-06,2026-02-06,4,convert_financing|dilution_bank|pipe_financing,https://www.sec.gov/Archives/edgar/data/1631487/0001213900-26-013033.txt
CLIK,2025-12-22,2025-12-22,2,dilution_bank|pipe_financing,https://www.sec.gov/Archives/edgar/data/2020027/0001493152-25-028640.txt
CLMB,2025-10-29,2025-10-29,2,dilution_bank,https://www.sec.gov/Archives/edgar/data/945983/0001437749-25-032187.txt
CLNN,2026-01-13,2026-01-13,13,convert_financing|dilution_bank|pipe_financing,https://www.sec.gov/Archives/edgar/data/1822791/0001437749-26-001196.txt
CLRB,2025-11-21,2025-11-21,4,convert_financing|dilution_bank,https://www.sec.gov/Archives/edgar/data/1279704/0001104659-25-114989.txt
CLRO,2025-10-30,2025-10-30,1,dilution_bank,https://www.sec.gov/Archives/edgar/data/840715/0001753926-25-001667.txt
CLST,2025-11-06,2025-11-06,1,dilution_bank,https://www.sec.gov/Archives/edgar/data/1849867/0001849867-25-000022.txt
CMCT,2026-01-22,2026-01-22,7,dilution_bank,https://www.sec.gov/Archives/edgar/data/908311/0000908311-26-000004.txt
CMND,2025-12-03,2026-02-17,13,convert_financing|dilution_bank|pipe_financing,https://www.sec.gov/Archives/edgar/data/1892500/0001213900-26-017379.txt
CNET,2025-10-29,2025-10-29,1,dilution_bank,https://www.sec.gov/Archives/edgar/data/1376321/0001171843-25-006766.txt
CNEY,2025-12-22,2025-12-22,2,convert_financing|dilution_bank|pipe_financing,https://www.sec.gov/Archives/edgar/data/1780785/0001477932-25-009114.txt
CNSP,2025-11-21,2025-11-21,3,dilution_bank,https://www.sec.gov/Archives/edgar/data/1729427/0001683168-25-008624.txt
COCP,2025-12-01,2026-02-19,18,dilution_bank,https://www.sec.gov/Archives/edgar/data/1412486/0001493152-26-007430.txt
COHN,2025-12-22,2026-02-20,32,convert_financing|dilution_bank|pipe_financing,https://www.sec.gov/Archives/edgar/data/1270436/0001104659-26-018157.txt
CPHC,2025-09-16,2025-09-16,1,convert_financing|dilution_bank|pipe_financing,https://www.sec.gov/Archives/edgar/data/1672909/0001437749-25-029100.txt
CPIX,2025-11-24,2025-11-24,4,dilution_bank,https://www.sec.gov/Archives/edgar/data/1087294/0001087294-25-000023.txt
CPSS,2025-11-25,2025-11-25,6,dilution_bank,https://www.sec.gov/Archives/edgar/data/889609/0001683168-25-008677.txt
CREG,2025-12-30,2025-12-30,5,dilution_bank|pipe_financing,https://www.sec.gov/Archives/edgar/data/721693/0001213900-25-126663.txt
CREX,2026-01-02,2026-02-18,14,dilution_bank,https://www.sec.gov/Archives/edgar/data/1356093/0001437749-26-004453.txt
CRIS,2026-01-08,2026-02-13,8,dilution_bank|pipe_financing,https://www.sec.gov/Archives/edgar/data/1108205/0001108205-26-000009.txt
CRMT,2026-01-16,2026-01-16,11,dilution_bank|pipe_financing,https://www.sec.gov/Archives/edgar/data/799850/0001104659-26-004576.txt
CRVO,2025-12-05,2025-12-05,3,dilution_bank,https://www.sec.gov/Archives/edgar/data/1053691/0001437749-25-037025.txt
CTEV,2025-11-14,2025-11-14,9,convert_financing|dilution_bank|pipe_financing,https://www.sec.gov/Archives/edgar/data/1793229/0001104659-25-111757.txt
CTGO,2026-02-12,2026-02-18,12,dilution_bank,https://www.sec.gov/Archives/edgar/data/1502377/0001193125-26-057344.txt
CTNT,2026-02-03,2026-02-19,13,pipe_financing,https://www.sec.gov/Archives/edgar/data/1951667/0001104659-26-017549.txt
CTRN,2026-01-12,2026-02-20,15,dilution_bank,https://www.sec.gov/Archives/edgar/data/1318484/0001104659-26-017849.txt
